,Average Fitness,Best Individual,Fitness Best,Fitness Worst
311,918.48,[1 1 1 ... 1 1 1],922,915
312,918.83,[1 1 1 ... 1 1 1],922,915
313,919.63,[1 1 1 ... 1 1 1],924,916
314,920.35,[1 1 1 ... 1 1 1],924,917
315,920.47,[1 1 1 ... 1 1 1],923,918
316,921.08,[1 1 1 ... 1 1 1],925,918
317,921.59,[1 1 1 ... 1 1 1],927,918
318,922.2,[1 1 1 ... 1 1 1],927,919
319,922.81,[1 1 1 ... 1 1 1],927,919
320,923.77,[1 1 1 ... 1 1 1],927,919
321,924.3,[1 1 1 ... 1 1 1],928,919
322,924.75,[1 1 1 ... 1 1 1],928,919
323,925.42,[1 1 1 ... 1 1 1],930,922
324,926.09,[1 1 1 ... 1 1 1],930,922
325,926.4,[1 1 1 ... 1 1 1],930,922
326,927.28,[1 1 1 ... 1 1 1],930,922
327,928.05,[1 1 1 ... 1 1 1],933,925
328,928.45,[1 1 1 ... 1 1 1],934,925
329,928.86,[1 1 1 ... 1 1 1],933,926
330,929.66,[1 1 1 ... 1 1 1],933,926
331,929.97,[1 1 1 ... 1 1 1],934,926
332,930.5,[1 1 1 ... 1 1 1],936,926
333,931.27,[1 1 1 ... 1 1 1],936,927
334,931.83,[1 1 1 ... 1 1 1],936,927
335,932.49,[1 1 1 ... 1 1 1],936,927
336,932.86,[1 1 1 ... 1 1 1],938,929
337,933.6,[1 1 1 ... 1 1 1],938,929
338,933.91,[1 1 1 ... 1 1 1],937,929
339,934.47,[1 1 1 ... 1 1 1],937,929
340,934.85,[1 1 1 ... 1 1 1],939,929
341,935.58,[1 1 1 ... 1 1 1],939,933
342,935.91,[1 1 1 ... 1 1 1],940,933
343,936.19,[1 1 1 ... 1 1 1],941,934
344,936.94,[1 1 1 ... 1 1 1],941,934
345,937.47,[1 1 1 ... 1 1 1],941,934
346,938.13,[1 1 1 ... 1 1 1],941,934
347,938.65,[1 1 1 ... 1 1 1],942,935
348,939.13,[1 1 1 ... 1 1 1],942,935
349,939.6,[1 1 1 ... 1 1 1],944,936
350,939.83,[1 1 1 ... 1 1 1],943,936
351,940.26,[1 1 1 ... 1 1 1],944,937
352,940.79,[1 1 1 ... 1 1 1],944,937
353,941.34,[1 1 1 ... 1 1 1],945,938
354,941.62,[1 1 1 ... 1 1 1],945,939
355,942.26,[1 1 1 ... 1 1 1],946,939
356,942.67,[1 1 1 ... 1 1 1],946,940
357,943.01,[1 1 1 ... 1 1 1],947,940
358,943.26,[1 1 1 ... 1 1 1],947,941
359,943.73,[1 1 1 ... 1 1 1],947,941
360,944.32,[1 1 1 ... 1 1 1],948,941
361,944.76,[1 1 1 ... 1 1 1],948,942
362,945.31,[1 1 1 ... 1 1 1],949,942
363,945.82,[1 1 1 ... 1 1 1],949,942
364,946.41,[1 1 1 ... 1 1 1],950,944
365,946.68,[1 1 1 ... 1 1 1],950,944
366,947.01,[1 1 1 ... 1 1 1],950,944
367,947.48,[1 1 1 ... 1 1 1],951,945
368,947.92,[1 1 1 ... 1 1 1],952,945
369,948.42,[1 1 1 ... 1 1 1],952,945
370,948.85,[1 1 1 ... 1 1 1],953,945
371,949.49,[1 1 1 ... 1 1 1],953,945
372,950.02,[1 1 1 ... 1 1 1],953,946
373,950.53,[1 1 1 ... 1 1 1],956,946
374,950.83,[1 1 1 ... 1 1 1],956,947
375,951.01,[1 1 1 ... 1 1 1],956,947
376,951.36,[1 1 1 ... 1 1 1],956,948
377,952.24,[1 1 1 ... 1 1 1],957,948
378,952.48,[1 1 1 ... 1 1 1],958,948
379,953.11,[1 1 1 ... 1 1 1],957,948
380,953.48,[1 1 1 ... 1 1 1],957,948
381,954.16,[1 1 1 ... 1 1 1],958,948
382,954.49,[1 1 1 ... 1 1 1],959,948
383,955.66,[1 1 1 ... 1 1 1],961,948
384,956.26,[1 1 1 ... 1 1 1],961,952
385,956.8,[1 1 1 ... 1 1 1],961,952
386,957.59,[1 1 1 ... 1 1 1],961,955
387,957.89,[1 1 1 ... 1 1 1],961,955
388,958.65,[1 1 1 ... 1 1 1],961,955
389,959.1,[1 1 1 ... 1 1 1],964,956
390,959.38,[1 1 1 ... 1 1 1],962,957
391,959.61,[1 1 1 ... 1 1 1],963,957
392,959.89,[1 1 1 ... 1 1 1],963,957
393,960.6,[1 1 1 ... 1 1 1],964,958
394,960.93,[1 1 1 ... 1 1 1],964,958
395,961.23,[1 1 1 ... 1 1 1],965,959
396,961.73,[1 1 1 ... 1 1 1],965,959
397,962.15,[1 1 1 ... 1 1 1],965,959
398,962.3,[1 1 1 ... 1 1 1],965,959
399,962.66,[1 1 1 ... 1 1 1],968,959
400,963.14,[1 1 1 ... 1 1 1],966,961
401,963.59,[1 1 1 ... 1 1 1],966,961
402,964.0,[1 1 1 ... 1 1 1],966,962
403,964.55,[1 1 1 ... 1 1 1],967,962
404,965.01,[1 1 1 ... 1 1 1],968,963
405,965.33,[1 1 1 ... 1 1 1],970,963
406,965.87,[1 1 1 ... 1 1 1],970,963
407,966.02,[1 1 1 ... 1 1 1],970,963
408,966.22,[1 1 1 ... 1 1 1],970,964
409,967.03,[1 1 1 ... 1 1 1],971,964
410,967.47,[1 1 1 ... 1 1 1],972,965
411,967.59,[1 1 1 ... 1 1 1],973,965
412,968.34,[1 1 1 ... 1 1 1],973,966
413,968.6,[1 1 1 ... 1 1 1],973,966
414,968.86,[1 1 1 ... 1 1 1],973,966
415,969.08,[1 1 1 ... 1 1 1],973,966
416,969.6,[1 1 1 ... 1 1 1],973,967
417,970.11,[1 1 1 ... 1 1 1],976,967
418,970.74,[1 1 1 ... 1 1 1],977,967
419,971.5,[1 1 1 ... 1 1 1],977,968
420,971.93,[1 1 1 ... 1 1 1],977,969
421,972.2,[1 1 1 ... 1 1 1],978,969
422,972.77,[1 1 1 ... 1 1 1],978,969
423,973.14,[1 1 1 ... 1 1 1],979,969
424,973.73,[1 1 1 ... 1 1 1],978,970
425,974.58,[1 1 1 ... 1 1 1],979,970
426,974.98,[1 1 1 ... 1 1 1],980,970
427,975.78,[1 1 1 ... 1 1 1],980,973
428,975.75,[1 1 1 ... 1 1 1],979,973
429,976.08,[1 1 1 ... 1 1 1],979,973
430,976.68,[1 1 1 ... 1 1 1],981,974
431,976.89,[1 1 1 ... 1 1 1],979,974
432,977.32,[1 1 1 ... 1 1 1],981,975
433,977.77,[1 1 1 ... 1 1 1],981,975
434,978.24,[1 1 1 ... 1 1 1],981,975
435,978.74,[1 1 1 ... 1 1 1],983,976
436,979.36,[1 1 1 ... 1 1 1],985,976
437,979.95,[1 1 1 ... 1 1 1],982,977
438,980.38,[1 1 1 ... 1 1 1],983,977
439,980.74,[1 1 1 ... 1 1 1],983,978
440,981.12,[1 1 1 ... 1 1 1],984,978
441,981.42,[1 1 1 ... 1 1 1],985,978
442,981.71,[1 1 1 ... 1 1 1],986,978
443,982.11,[1 1 1 ... 1 1 1],985,978
444,982.32,[1 1 1 ... 1 1 1],985,980
445,982.66,[1 1 1 ... 1 1 1],986,981
446,982.85,[1 1 1 ... 1 1 1],986,981
447,983.31,[1 1 1 ... 1 1 1],987,981
448,983.71,[1 1 1 ... 1 1 1],987,981
449,984.18,[1 1 1 ... 1 1 1],987,981
450,984.72,[1 1 1 ... 1 1 1],990,982
451,985.19,[1 1 1 ... 1 1 1],988,982
452,985.6,[1 1 1 ... 1 1 1],990,982
453,986.03,[1 1 1 ... 1 1 1],990,982
454,986.47,[1 1 1 ... 1 1 1],991,984
455,986.88,[1 1 1 ... 1 1 1],994,984
456,987.41,[1 1 1 ... 1 1 1],994,985
457,987.93,[1 1 1 ... 1 1 1],994,985
458,988.47,[1 1 1 ... 1 1 1],994,985
459,989.38,[1 1 1 ... 1 1 1],996,986
460,990.18,[1 1 1 ... 1 1 1],994,986
461,991.05,[1 1 1 ... 1 1 1],994,987
462,991.85,[1 1 1 ... 1 1 1],998,987
463,992.13,[1 1 1 ... 1 1 1],996,987
464,992.77,[1 1 1 ... 1 1 1],997,987
465,992.97,[1 1 1 ... 1 1 1],996,989
466,993.49,[1 1 1 ... 1 1 1],996,990
467,993.92,[1 1 1 ... 1 1 1],996,991
468,994.11,[1 1 1 ... 1 1 1],996,991
469,994.29,[1 1 1 ... 1 1 1],997,991
470,994.65,[1 1 1 ... 1 1 1],997,992
471,995.15,[1 1 1 ... 1 1 1],1000,992
472,995.1,[1 1 1 ... 1 1 1],1000,993
473,995.46,[1 1 1 ... 1 1 1],1000,994
474,995.64,[1 1 1 ... 1 1 1],1000,994
475,996.18,[1 1 1 ... 1 1 1],1000,994
476,996.63,[1 1 1 ... 1 1 1],1001,994
477,996.78,[1 1 1 ... 1 1 1],1000,994
478,997.23,[1 1 1 ... 1 1 1],1000,994
479,997.7,[1 1 1 ... 1 1 1],1001,995
