mu,nu,psi,H,Combination
0.0,0.15,0.55,0.2833415327271296,Susceptible-Highly Susceptible
0.0,0.15,0.6,0.17457411411411536,Immune-Susceptible
0.0,0.15,0.6,0.332809616408286,Immune-Highly Susceptible
0.0,0.15,0.6,0.32323694365326155,Susceptible-Highly Susceptible
0.0,0.15,0.65,0.16565855457906678,Immune-Susceptible
0.0,0.15,0.65,0.3138243924655588,Immune-Highly Susceptible
0.0,0.15,0.65,0.31151857971141345,Susceptible-Highly Susceptible
0.0,0.15,0.7,0.1633969732192015,Immune-Susceptible
0.0,0.15,0.7,0.3677863904858469,Immune-Highly Susceptible
0.0,0.15,0.7,0.36033629146023965,Susceptible-Highly Susceptible
0.0,0.15,0.75,0.2070983235854354,Immune-Susceptible
0.0,0.15,0.75,0.3742587227396742,Immune-Highly Susceptible
0.0,0.15,0.75,0.35368788639486143,Susceptible-Highly Susceptible
0.0,0.15,0.8,0.20387648522098412,Immune-Susceptible
0.0,0.15,0.8,0.39255468360310436,Immune-Highly Susceptible
0.0,0.15,0.8,0.36479105352082686,Susceptible-Highly Susceptible
0.0,0.15,0.85,0.2253333783435683,Immune-Susceptible
0.0,0.15,0.85,0.3932914153780714,Immune-Highly Susceptible
0.0,0.15,0.85,0.3515191308900223,Susceptible-Highly Susceptible
0.0,0.15,0.9,0.2601191043766087,Immune-Susceptible
0.0,0.15,0.9,0.46119535845776694,Immune-Highly Susceptible
0.0,0.15,0.9,0.41684693527361016,Susceptible-Highly Susceptible
0.0,0.15,0.95,0.25147748126573183,Immune-Susceptible
0.0,0.15,0.95,0.4818472080338805,Immune-Highly Susceptible
0.0,0.15,0.95,0.42059410323344476,Susceptible-Highly Susceptible
0.0,0.15,1.0,0.0888039876780721,Immune-Susceptible
0.0,0.15,1.0,0.11873878796882269,Immune-Highly Susceptible
0.0,0.15,1.0,0.0809907319468402,Susceptible-Highly Susceptible
0.0,0.2,0.0,0.14063554610126322,Immune-Susceptible
0.0,0.2,0.0,0.2854424191294456,Immune-Highly Susceptible
0.0,0.2,0.0,0.2810001977709416,Susceptible-Highly Susceptible
0.0,0.2,0.05,0.12882908042669144,Immune-Susceptible
0.0,0.2,0.05,0.272783885999353,Immune-Highly Susceptible
0.0,0.2,0.05,0.2661687257864278,Susceptible-Highly Susceptible
0.0,0.2,0.1,0.12982527769926228,Immune-Susceptible
0.0,0.2,0.1,0.25552535775961566,Immune-Highly Susceptible
0.0,0.2,0.1,0.25398758914001596,Susceptible-Highly Susceptible
0.0,0.2,0.15,0.13081973732598642,Immune-Susceptible
0.0,0.2,0.15,0.27490225555114844,Immune-Highly Susceptible
0.0,0.2,0.15,0.2751238997989478,Susceptible-Highly Susceptible
0.0,0.2,0.2,0.1331143665473759,Immune-Susceptible
0.0,0.2,0.2,0.2468095576835205,Immune-Highly Susceptible
0.0,0.2,0.2,0.24960226670242008,Susceptible-Highly Susceptible
0.0,0.2,0.25,0.13420389421318846,Immune-Susceptible
0.0,0.2,0.25,0.2893092000822054,Immune-Highly Susceptible
0.0,0.2,0.25,0.2717552882268827,Susceptible-Highly Susceptible
0.0,0.2,0.3,0.1493955943459948,Immune-Susceptible
0.0,0.2,0.3,0.28339973185751277,Immune-Highly Susceptible
0.0,0.2,0.3,0.27586559357941765,Susceptible-Highly Susceptible
0.0,0.2,0.35,0.13782821730248446,Immune-Susceptible
0.0,0.2,0.35,0.2824480365047902,Immune-Highly Susceptible
0.0,0.2,0.35,0.2842106199723429,Susceptible-Highly Susceptible
0.0,0.2,0.4,0.12919811405295617,Immune-Susceptible
0.0,0.2,0.4,0.2836642196434922,Immune-Highly Susceptible
0.0,0.2,0.4,0.28512712837024545,Susceptible-Highly Susceptible
0.0,0.2,0.45,0.14677319107033432,Immune-Susceptible
0.0,0.2,0.45,0.3292812007374337,Immune-Highly Susceptible
0.0,0.2,0.45,0.3168030602087549,Susceptible-Highly Susceptible
0.0,0.2,0.5,0.14728142533625022,Immune-Susceptible
0.0,0.2,0.5,0.2904013890710252,Immune-Highly Susceptible
0.0,0.2,0.5,0.28679071081606833,Susceptible-Highly Susceptible
0.0,0.2,0.55,0.15244652399184166,Immune-Susceptible
0.0,0.2,0.55,0.3099803582007663,Immune-Highly Susceptible
0.0,0.2,0.55,0.30948248118870625,Susceptible-Highly Susceptible
0.0,0.2,0.6,0.15429345702209005,Immune-Susceptible
0.0,0.2,0.6,0.33045810008879445,Immune-Highly Susceptible
0.0,0.2,0.6,0.30630499818359075,Susceptible-Highly Susceptible
0.0,0.2,0.65,0.18131684940710668,Immune-Susceptible
0.0,0.2,0.65,0.31665373674691427,Immune-Highly Susceptible
0.0,0.2,0.65,0.31700563028823625,Susceptible-Highly Susceptible
0.0,0.2,0.7,0.19133140998101386,Immune-Susceptible
0.0,0.2,0.7,0.35718654930859617,Immune-Highly Susceptible
0.0,0.2,0.7,0.3488124644579174,Susceptible-Highly Susceptible
0.0,0.2,0.75,0.1666394765515253,Immune-Susceptible
0.0,0.2,0.75,0.3778193342269799,Immune-Highly Susceptible
0.0,0.2,0.75,0.3577854589192486,Susceptible-Highly Susceptible
0.0,0.2,0.8,0.20448492691398062,Immune-Susceptible
0.0,0.2,0.8,0.3677420601886088,Immune-Highly Susceptible
0.0,0.2,0.8,0.3573214396292064,Susceptible-Highly Susceptible
0.0,0.2,0.85,0.19416570651366333,Immune-Susceptible
0.0,0.2,0.85,0.4319960852812304,Immune-Highly Susceptible
0.0,0.2,0.85,0.37221976753861885,Susceptible-Highly Susceptible
0.0,0.2,0.9,0.2513525818654265,Immune-Susceptible
0.0,0.2,0.9,0.46384949372389683,Immune-Highly Susceptible
0.0,0.2,0.9,0.37122896033512365,Susceptible-Highly Susceptible
0.0,0.2,0.95,0.2326825354496316,Immune-Susceptible
0.0,0.2,0.95,0.4722782392606834,Immune-Highly Susceptible
0.0,0.2,0.95,0.40641781535351423,Susceptible-Highly Susceptible
0.0,0.2,1.0,0.07582270081823717,Immune-Susceptible
0.0,0.2,1.0,0.1043064513452227,Immune-Highly Susceptible
0.0,0.2,1.0,0.0768225237248536,Susceptible-Highly Susceptible
0.0,0.25,0.0,0.12918884341073733,Immune-Susceptible
0.0,0.25,0.0,0.25913710337450296,Immune-Highly Susceptible
0.0,0.25,0.0,0.2591732599703193,Susceptible-Highly Susceptible
0.0,0.25,0.05,0.12989130315116368,Immune-Susceptible
0.0,0.25,0.05,0.2602972409898061,Immune-Highly Susceptible
0.0,0.25,0.05,0.25356286857191557,Susceptible-Highly Susceptible
0.0,0.25,0.1,0.15306589591140277,Immune-Susceptible
0.0,0.25,0.1,0.2518205867646972,Immune-Highly Susceptible
0.0,0.25,0.1,0.239534366646974,Susceptible-Highly Susceptible
0.0,0.25,0.15,0.12007446894531486,Immune-Susceptible
0.0,0.25,0.15,0.273501387973404,Immune-Highly Susceptible
